timestamp,Temperature,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Global radiation,Precipitation Total
20200209T0100,16.849213,0,0,0,0,0,0
20200209T0200,16.159214,0,0,0,0,0,0
20200209T0300,15.259213,0,0,0,0,0,0
20200209T0400,14.879213,0,0,0,0,0,0
20200209T0500,13.979214,0,0,0,0,0,0
20200209T0600,13.389214,0,0,0,0,0,0
20200209T0700,16.709213,0,21.36,17.264801,4.0952,25.4552,0
20200209T0800,18.919214,0,148.63,121.9722,26.65781,175.28781,0
20200209T0900,20.719213,53.61702,343.54,293.32187,50.218136,393.758136,0
20200209T1000,22.319214,52.97872,531.33,390.9134,140.41664,671.74664,0
20200209T1100,23.179214,53.61702,525.99,298.66122,227.32877,753.31877,0
20200209T1200,24.059214,53.61702,488.61,178.94965,309.66034,798.27034,0
20200209T1300,26.239214,53.61702,833.93,616.39465,217.53537,1051.46537,0
20200209T1400,26.689215,53.61702,853.51,591.428,262.08203,1115.59203,0
20200209T1500,26.409214,53.61702,739.58997,493.6558,245.93417,985.52414,0
20200209T1600,25.449213,53.61702,574.05,358.73257,215.31741,789.36741,0
20200209T1700,24.129213,53.61702,371.13,217.92465,153.20535,524.33535,0
20200209T1800,21.979214,60,145.06999,78.9379,66.132095,211.202085,0
20200209T1900,20.249214,10.785461,1.78,0.41388333,1.3661166,3.1461166,0
20200209T2000,19.309214,0,0,0,0,0,0
20200209T2100,19.529213,0,0,0,0,0,0
20200209T2200,18.889214,0,0,0,0,0,0
20200209T2300,18.709213,0,0,0,0,0,0
20200210T0000,18.209213,0,0,0,0,0,0
20200210T0100,17.679214,0,0,0,0,0,0
20200210T0200,17.209213,0,0,0,0,0,0
20200210T0300,16.709213,0,0,0,0,0,0
20200210T0400,16.149214,0,0,0,0,0,0
20200210T0500,15.609214,0,0,0,0,0,0
20200210T0600,15.149214,0,0,0,0,0,0
20200210T0700,14.339213,0,36.489998,19.271633,17.218365,53.708363,0
20200210T0800,17.899214,60,265.22,149.64062,115.57938,380.79938,0
20200210T0900,21.549213,60,496.62,300.58472,196.03526,692.65526,0
20200210T1000,23.999214,53.61702,685.3,438.42676,246.87323,932.17323,0
20200210T1100,25.809214,53.61702,805.45,546.182,259.26804,1064.71804,0
20200210T1200,26.169214,53.61702,744.93,576.7008,168.22917,913.15917,0
20200210T1300,26.419214,51.70213,514.42,199.47241,314.94757,829.36757,0
